  1400.00      5000.00      1.90901      0.00000      0.00000      0.00000      0.00000      0.00000      1.34600      2.47202     0.281505      0.00000      0.00000    
  1388.89      5000.00              NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
  1377.78      5000.00              NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
  1366.67      5000.00              NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
  1355.56      5000.00              NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
  1344.44      5000.00              NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
  1333.33      5000.00              NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
  1322.22      5000.00              NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
  1311.11      5000.00              NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
  1300.00      5000.00              NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
